filename,Targeting_Vulnerable,Targeting_Vulnerable_matches,Religious_Pressure,Religious_Pressure_matches,High_Pressure,High_Pressure_matches
force-962797494XXX-5393-20260102-152433-1767360273.133196.mp3-arabic.txt,49,"دين,سر",14,"والله,الله",13,"بونص,الحين"
record1768230007.mp3-arabic.txt,22,"دين,سر,ربة منزل",86,"ربنا,والله,الله",37,"فرصة,الحين"
call_20251223_115443.mp3-arabic.txt,21,"دين,سر",68,"والله,الله,حلال",0,
force-4028962797148XXX-6061-20251222-114538-1766396737.37668.mp3-arabic.txt,20,"دين,سر",69,"والله,الله,حلال",4,بونص
record1765209839.mp3-arabic.txt,20,"دين,سر",35,"ربنا,والله,الله",16,"مكافأة,فرصة,بونص,الحين"
CA50046654_20250724_104101.mp3-arabic.txt,20,"دين,سر",54,"والله,الله",6,"فرصة,بونص,الحين"
call_20251223_115446.mp3-arabic.txt,17,"دين,سر",41,"ربنا,والله,الله",35,الحين
record1766483993.mp3-arabic.txt,16,"سلف,دين",50,"والله,الله",11,"الآن,الحين"
force-4028962797148XXX-6075-20251222-094135-1766389294.17580.mp3-arabic.txt,16,"دين,سر",42,"ربنا,والله,الله",34,الحين
record1765721553.mp3-arabic.txt,15,"دين,سر",65,"والله,الله",0,
record1765378876.mp3-arabic.txt,15,"دين,سر",76,"ربنا,والله,الله,حلال",22,"فرصة,الحين"
record1765176708.mp3-arabic.txt,14,"دين,سر",24,"ربنا,والله,الله",11,الحين
record1769086867.mp3-arabic (1).txt,14,"دين,سر",26,"والله,الله",38,"بونص,الحين"
CA50128132_20250730_165427.mp3-arabic.txt,13,"قرض,دين,سر",32,"والله,الله",5,"فرصة,الحين"
record1765964162.mp3-arabic.txt,13,"سلف,سر,دين",105,"والله,الله,احلف",25,"بونص,الحين"
record-1765267241.182275.mp3-arabic.txt,12,"سلف,سر,دين",77,"ربنا,والله,الله",7,الحين
record1768311587.mp3-arabic.txt,12,دين,63,"ربنا,والله,الله",2,"بونص,الحين"
recordCA58454389.mp3-arabic.txt,11,"دين,سر",26,"والله,الله",5,فرصة
record1769086957.mp3-arabic.txt,11,"دين,سر",47,"والله,الله",21,"بونص,الحين"
record1765109057.mp3-arabic.txt,11,"دين,سر",25,"والله,الله",21,"بونص,الحين"
record1766392058.mp3-arabic.txt,11,"دين,سر",27,"والله,الله",5,الحين
record1765350635.mp3-arabic.txt,11,"دين,سر",30,"والله,الله",2,بونص
CA50130108_20250730_184453.mp3-arabic.txt,9,"سلف,سر,دين",9,"والله,الله",1,الحين
record-1765285141.228267.mp3-arabic.txt,9,"دين,سر",54,"ربنا,والله,الله,حلال",16,"بونص,الحين"
record1765183546.mp3-arabic.txt,9,"دين,سر",32,"والله,الله",3,"ينتهي,فرصة"
call_20251223_115458.mp3-arabic.txt,8,"دين,سر",59,"والله,الله,حلال",2,بونص
record1765975328.mp3-arabic.txt,8,"دين,سر",33,"والله,الله",19,"فرصة,الحين"
record1766316803.mp3-arabic.txt,7,"دين,سر",69,"والله,الله",3,"الآن,الحين"
record1765187873.mp3-arabic.txt,7,"دين,سر",24,"ربنا,والله,الله",0,
force-4028962797148XXX-6061-20251222-135914-1766404754.55688.mp3-arabic.txt,7,"دين,سر",61,"والله,الله,حلال",6,"بونص,الآن"
record1768819145.mp3-arabic.txt,7,"دين,سر",78,"ربنا,والله,الله",1,فرصة
call_20251210_091427.mp3-arabic.txt,6,دين,22,"والله,الله",0,
record1766316555.mp3-arabic.txt,6,سر,9,الله,31,"بونص,فرصة"
CA66577595 08_12_25.mp3-arabic.txt,6,"دين,سر",10,"والله,الله,حلال",0,
record1765964167.mp3-arabic.txt,5,"دين,سر",39,"والله,الله",11,"بونص,الحين"
call_20251216_105115.mp3-arabic.txt,5,"دين,سر",21,"والله,الله",0,
record1765964165.mp3-arabic.txt,5,دين,16,"والله,الله",7,الحين
CA50092314_20250728_135021.mp3-arabic.txt,5,"دين,سر",16,"والله,الله",5,"بونص,الحين"
record1768229865.mp3-arabic.txt,5,"دين,سر",17,الله,7,الحين
record1766418814.mp3-arabic.txt,5,"دين,سر",29,"والله,الله",3,بونص
WhatsApp Audio 2025-12-17 at 17.23.12 (1) (online-audio-converter.com).mp3-arabic.txt,5,"دين,سر",5,"والله,الله",0,
CA53166372.mp3-arabic.txt,5,"دين,سر",30,"والله,الله",1,الحين
call_20251216_110129.mp3-arabic.txt,4,"دين,سر",22,"والله,الله",0,
record1766566054.mp3-arabic.txt,4,"دين,سر",26,"والله,الله",15,الحين
call_20251216_113542.mp3-arabic.txt,4,دين,22,"والله,الله",0,
CA57589383.mp3-arabic.txt,4,"دين,سر",11,"ربنا,والله,الله",10,"فرصة,الحين"
record1766316699.mp3-arabic.txt,4,"دين,سر",7,"والله,الله",3,"مكافأة,الآن,الحين"
CA66047199 27_11_25.mp3-arabic.txt,4,دين,5,"حلال,الله",0,
record1765187869.mp3-arabic.txt,4,"دين,سر",33,"والله,الله",2,"بونص,الحين"
call_20260112_132552.mp3-arabic.txt,4,دين,20,"والله,الله",0,
call_20251218_080840.mp3-arabic.txt,4,"دين,سر",7,"والله,الله",0,
call_20251216_115028.mp3-arabic.txt,4,"دين,سر",21,"والله,الله",0,
call_20251216_104204.mp3-arabic.txt,4,"دين,سر",22,"والله,الله",0,
record1768468902.mp3-arabic.txt,4,دين,55,"والله,الله,احلف",0,
record1768468904.mp3-arabic.txt,4,دين,96,"والله,الله",5,الحين
record1768393108.mp3-arabic.txt,4,"دين,سر",28,"والله,الله",14,الحين
WhatsApp Audio 2025-12-17 special-chars test.mp3-arabic.txt,3,سر,7,"والله,الله",0,
CA53279112.mp3-arabic.txt,3,سر,65,"والله,الله",1,الحين
recordCA55607597.mp3-arabic.txt,3,"دين,سر",25,"والله,الله",2,"فرصة,الحين"
record1768392734.mp3-arabic.txt,3,"دين,سر",22,"والله,الله",15,الحين
record1766418806.mp3-arabic.txt,3,"دين,سر",28,"والله,الله",5,بونص
record1768229800.mp3-arabic.txt,3,"دين,سر",41,"ربنا,والله,الله",4,الحين
call_20251216_111816.mp3-arabic.txt,3,دين,21,"والله,الله",0,
record CA55607597.mp3-arabic.txt,3,"دين,سر",23,"والله,الله",11,"فرصة,بونص,الحين"
record1767609783.mp3-arabic.txt,3,سر,12,"والله,الله",0,
record1769086865.mp3-arabic.txt,3,"دين,سر",41,"والله,الله,حلال",12,"فرصة,بونص,الحين"
record1768819149.mp3-arabic.txt,2,"دين,سر",21,"والله,الله",3,فرصة
CA53190526.mp3-arabic.txt,2,دين,22,"والله,الله,حلال",2,الحين
20260118180617-1768748766.9050-1057-00966568454001-Outbound (1).wav-arabic.txt,2,دين,14,"والله,الله",3,"بونص,فرصة"
CA66352431 03_12_25.mp3-arabic.txt,2,دين,8,"والله,الله",0,
20251223112350-1766478199.2777-1019-00966554512126-Outbound.wav-arabic.txt,2,دين,31,"والله,الله",6,الحين
record1765187866.mp3-arabic.txt,2,"دين,سر",36,"والله,الله",10,فرصة
record1765706747.mp3-arabic.txt,2,دين,4,الله,3,الحين
record1768393104.mp3-arabic.txt,2,سر,28,"والله,الله",0,
record1765186026.mp3-arabic.txt,2,"دين,سر",32,"والله,الله",5,"بونص,الآن"
20260118184747-1768751246.10248-1057-00966568454001-Outbound (1).wav-arabic.txt,2,سر,1,الله,0,
20260118181632-1768749374.9330-1057-00966568454001-Outbound (1).wav-arabic.txt,2,سر,9,"والله,الله",2,"بونص,فرصة"
record1768389939.mp3-arabic.txt,2,"قرض,دين",90,"ربنا,والله,الله",16,"بونص,الحين"
record1767542485.mp3-arabic.txt,1,دين,4,الله,7,الحين
CA57589957.mp3-arabic.txt,1,دين,3,"والله,الله",8,"فرصة,الحين"
CA50092476_20250728_140045.mp3-arabic.txt,1,دين,32,"والله,الله",6,"بونص,الحين"
