severity	kind	file	target	note
medium	pointer	dot-claude/bin/intent	/home/shovalbe/.local/bin/intent	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/coverage-enforcer.sh	/home/shovalbe/.codex/hooks/coverage-enforcer.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/hive-review-bridge.sh	/home/shovalbe/.codex/hooks/hive-review-bridge.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/intent-capture.sh	/home/shovalbe/.codex/hooks/intent-capture.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/intent-session-brief.sh	/home/shovalbe/.codex/hooks/intent-session-brief.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/post-compact-reinject.sh	/home/shovalbe/.codex/hooks/post-compact-reinject.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/protect-infra.sh	/home/shovalbe/.codex/hooks/protect-infra.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/rtk-bash-guard.sh	/home/shovalbe/.codex/hooks/rtk-bash-guard.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/session-context.sh	/home/shovalbe/.codex/hooks/session-context.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/snapshot-state.sh	/home/shovalbe/.codex/hooks/snapshot-state.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/stop-checklist.sh	/home/shovalbe/.codex/hooks/stop-checklist.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/verification-before-completion.sh	/home/shovalbe/.codex/hooks/verification-before-completion.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/voice-explainer-trigger.sh	/home/shovalbe/.codex/hooks/voice-explainer-trigger.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/hooks/watchdog-verify.sh	/home/shovalbe/.codex/hooks/watchdog-verify.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/apify-mcp	/home/shovalbe/.codex/skills/apify-mcp	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/azure-devops	/home/shovalbe/.codex/skills/azure-devops	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/azure-keyvault-secrets	/home/shovalbe/.codex/skills/azure-keyvault-secrets	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/cleanup-crew	/home/shovalbe/.codex/skills/cleanup-crew	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/code-simplifier	/home/shovalbe/.codex/skills/code-simplifier	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/commit-push-pr	/home/shovalbe/.codex/skills/commit-push-pr	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/deep-research	/home/shovalbe/.agents/skills/deep-research	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/elevenlabs-mcp	/home/shovalbe/.codex/skills/elevenlabs-mcp	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/end-session	/home/shovalbe/.agents/skills/end-session	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/eval-runner	/home/shovalbe/.codex/skills/eval-runner	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/feature-investor	/home/shovalbe/.codex/skills/feature-investor	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/grill-me	/home/shovalbe/.agents/skills/grill-me	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/heidegger-reflect	/home/shovalbe/.agents/skills/heidegger-reflect	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/heygen-mcp	/home/shovalbe/.codex/skills/heygen-mcp	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/humanize	/home/shovalbe/.agents/skills/humanize	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/kill-stale	/home/shovalbe/.codex/skills/kill-stale	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/mcp-activation	/home/shovalbe/.codex/skills/mcp-activation	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/mutation-runner	/home/shovalbe/.codex/skills/mutation-runner	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/ops-status	/home/shovalbe/.codex/skills/ops-status	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/ponytail	/home/shovalbe/.codex/skills/ponytail	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/ponytail-audit	/home/shovalbe/.codex/skills/ponytail-audit	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/ponytail-help	/home/shovalbe/.codex/skills/ponytail-help	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/ponytail-review	/home/shovalbe/.codex/skills/ponytail-review	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/property-test-gen	/home/shovalbe/.codex/skills/property-test-gen	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/red-team	/home/shovalbe/.codex/skills/red-team	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/red-team-review	/home/shovalbe/.codex/skills/red-team-review	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/reground	/home/shovalbe/.agents/skills/reground	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/shoval-voice-draft	/home/shovalbe/.codex/skills/shoval-voice-draft	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/triage-tests	/home/shovalbe/.codex/skills/triage-tests	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/voice-explainer	/home/shovalbe/.codex/skills/voice-explainer	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/watchdog	/home/shovalbe/.codex/skills/watchdog	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/web-inspect	/home/shovalbe/.codex/skills/web-inspect	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-claude/skills/workspace-brain	/home/shovalbe/.codex/skills/workspace-brain	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/ado-auth-mfa-nudge.sh	/home/shovalbe/.claude/hooks/ado-auth-mfa-nudge.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/bash-guard.sh	/home/shovalbe/.claude/hooks/bash-guard.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/codex-review-on-push.sh	/home/shovalbe/.claude/hooks/codex-review-on-push.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/contract-proof-stop.sh	/home/shovalbe/.claude/hooks/contract-proof-stop.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/eval-gate.sh	/home/shovalbe/.claude/hooks/eval-gate.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/eval-nudge.sh	/home/shovalbe/.claude/hooks/eval-nudge.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/git-block-force-push.sh	/home/shovalbe/.claude/hooks/git-block-force-push.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/layer7-embed.sh	/home/shovalbe/.claude/hooks/layer7-embed.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/post-tool-quality-check.sh	/home/shovalbe/.claude/hooks/post-tool-quality-check.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/prompt-router.sh	/home/shovalbe/.claude/hooks/prompt-router.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/protect-azure-prod.sh	/home/shovalbe/.claude/hooks/protect-azure-prod.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/rtk-rewrite.sh	/home/shovalbe/.claude/hooks/rtk-rewrite.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/session-guard.sh	/home/shovalbe/.claude/hooks/session-guard.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/session-msg-counter.sh	/home/shovalbe/.claude/hooks/session-msg-counter.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/session-recall.sh	/home/shovalbe/.claude/hooks/session-recall.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/stop-skill-nudge.sh	/home/shovalbe/.claude/hooks/stop-skill-nudge.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/hooks/stop-verify.sh	/home/shovalbe/.claude/hooks/stop-verify.sh	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/boundary-contracts.md	/home/shovalbe/.claude/rules/boundary-contracts.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/docs-control-plane.md	/home/shovalbe/.claude/rules/docs-control-plane.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/foundry-deployment-per-project.md	/home/shovalbe/.claude/rules/foundry-deployment-per-project.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/gastown-company-registry.md	/home/shovalbe/.claude/rules/gastown-company-registry.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/hive-mind-workflows.md	/home/shovalbe/.claude/rules/hive-mind-workflows.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/jira-comment-drafting.md	/home/shovalbe/.claude/rules/jira-comment-drafting.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/latent-vector-workflows.md	/home/shovalbe/.claude/rules/latent-vector-workflows.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/pii-handling.md	/home/shovalbe/.claude/rules/pii-handling.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/production-means-merged-and-smoked.md	/home/shovalbe/.claude/rules/production-means-merged-and-smoked.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/read-whole-before-reasoning.md	/home/shovalbe/.claude/rules/read-whole-before-reasoning.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/rules/repo-topology.md	/home/shovalbe/.claude/rules/repo-topology.md	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/LTMD	/home/shovalbe/.claude/skills/LTMD	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/advisor	/home/shovalbe/.claude/skills/advisor	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/agent-builder	/home/shovalbe/.claude/skills/agent-builder	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/azure-activity-watch	/home/shovalbe/.claude/skills/azure-activity-watch	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/azure-audit	/home/shovalbe/.claude/skills/azure-audit	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/azure-cert-coach	/home/shovalbe/.claude/skills/azure-cert-coach	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/azure-runtime	/home/shovalbe/.claude/skills/azure-runtime	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/blog	/home/shovalbe/.claude/skills/blog	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/blonde-designer	/home/shovalbe/.claude/skills/blonde-designer	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/codex-call	/home/shovalbe/.claude/skills/codex-call	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/context-bounded-analyst	/home/shovalbe/.claude/skills/context-bounded-analyst	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/coverage-enforcer	/home/shovalbe/.claude/skills/coverage-enforcer	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/decision-grade	/home/shovalbe/.claude/skills/decision-grade	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/deep-research	/home/shovalbe/.agents/skills/deep-research	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/dispatch	/home/shovalbe/.claude/skills/dispatch	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/end-session	/home/shovalbe/.agents/skills/end-session	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/grill-me	/home/shovalbe/.agents/skills/grill-me	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/heidegger-reflect	/home/shovalbe/.agents/skills/heidegger-reflect	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/humanize	/home/shovalbe/.agents/skills/humanize	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/jira-read	/home/shovalbe/.claude/skills/jira-read	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/jira-task-draft	/home/shovalbe/.claude/skills/jira-task-draft	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/meeting-notes	/home/shovalbe/.claude/skills/meeting-notes	whole file is a path to nowhere; basename matches, so this was a link that got flattened
medium	pointer	dot-codex/skills/openai-agents	/home/shovalbe/.claude/skills/openai-agents	whole file is a path to nowhere; basename matches, so this was a link that got flattened
